Año,Región,Sector Económico,Empresa,Número de Accidentes
2020,Andina,Transporte,Salud Total,25
2022,Pacífica,Construcción,Prosegur,60
2022,Andina,,Educando SAS,40
2021,Andina,Agroindustria,Mineralco,56
2021,Caribe,Educación,Educando SAS,28
2022,Caribe,Educación,TransCaribe,33
2020,,Manufactura,Colsalud S.A.,52
2020,Caribe,Construcción,,31
2021,Pacífica,Manufactura,Salud Total,23
2021,Orinoquía,Minería,Mineralco,24
2023,Andina,Transporte,Colsalud S.A.,36
2023,Andina,,TransCaribe,47
2021,Andina,Construcción,Mineralco,20
2020,Pacífica,Minería,AgroCampo,32
2022,Orinoquía,Transporte,Mineralco,6
2020,Caribe,Minería,Ferroandes,34
2022,Amazonía,Manufactura,Prosegur,15
2020,Caribe,Manufactura,Logística Express,21
2023,Orinoquía,Transporte,Logística Express,46
2022,Andina,Manufactura,Ferroandes,10
2022,Orinoquía,Educación,Ferroandes,48
2022,,Transporte,Logística Express,20
2022,Pacífica,Transporte,Logística Express,43
2020,Andina,Educación,Colsalud S.A.,39
2020,Amazonía,Minería,Prosegur,24
2022,Orinoquía,Construcción,Colsalud S.A.,51
2023,Pacífica,Manufactura,TransCaribe,53
2020,Amazonía,Minería,Logística Express,33
2020,Andina,Agroindustria,AgroCampo,29
2020,Orinoquía,Construcción,AgroCampo,13
2020,Orinoquía,Salud,Logística Express,6
2021,Pacífica,Minería,Salud Total,44
2020,Amazonía,Minería,TransCaribe,30
2022,Amazonía,Transporte,Educando SAS,45
2023,Orinoquía,Agroindustria,Ferroandes,35
2021,Orinoquía,Agroindustria,AgroCampo,53
2021,Pacífica,Salud,Concretos del Valle,37
2023,Orinoquía,Agroindustria,Colsalud S.A.,15
2020,Andina,Manufactura,Prosegur,21
2023,Caribe,Manufactura,Colsalud S.A.,56
2022,Caribe,Agroindustria,Mineralco,35
2022,,Agroindustria,Educando SAS,53
2023,Andina,Minería,Prosegur,27
2022,Amazonía,Construcción,Prosegur,55
2022,Caribe,Agroindustria,Prosegur,15
2021,Orinoquía,Manufactura,Educando SAS,54
2020,Pacífica,Educación,TransCaribe,53
2020,Caribe,,,22
2022,Andina,Salud,Educando SAS,19
2022,Orinoquía,Minería,AgroCampo,22
2022,Amazonía,Transporte,Concretos del Valle,21
2023,Andina,Agroindustria,,49
2022,Orinoquía,Agroindustria,Prosegur,5
2020,Andina,Construcción,Ferroandes,15
2022,Andina,Transporte,Mineralco,38
2023,Amazonía,Agroindustria,Salud Total,46
2021,Andina,Minería,TransCaribe,54
2020,Caribe,Construcción,TransCaribe,6
2020,,Salud,AgroCampo,51
2023,Orinoquía,Transporte,TransCaribe,27
2020,Amazonía,Transporte,Concretos del Valle,52
2022,Caribe,,,21
2020,Caribe,Minería,Mineralco,55
2021,Caribe,Salud,AgroCampo,27
2022,Pacífica,Salud,TransCaribe,49
2020,Pacífica,Transporte,Mineralco,11
2021,Orinoquía,Manufactura,Prosegur,24
2022,Pacífica,Salud,TransCaribe,37
2021,Pacífica,Educación,Concretos del Valle,14
2020,Amazonía,Salud,Colsalud S.A.,26
2020,Caribe,Transporte,Ferroandes,310
2022,Amazonía,Minería,Concretos del Valle,38
2022,Pacífica,Educación,Concretos del Valle,55
2022,Caribe,,Ferroandes,55
2022,Amazonía,Salud,Logística Express,27
2023,Amazonía,Transporte,Logística Express,5
2021,Caribe,Transporte,Prosegur,31
2020,Pacífica,Educación,Ferroandes,6
2020,Pacífica,Salud,TransCaribe,300
2021,Andina,Educación,AgroCampo,38
2021,Amazonía,Salud,AgroCampo,23
2021,Pacífica,Salud,Concretos del Valle,58
2023,Andina,Salud,Salud Total,29
2021,Andina,Construcción,Mineralco,9
2021,Caribe,Manufactura,Mineralco,57
2022,Pacífica,Salud,Prosegur,52
2020,Pacífica,Manufactura,Salud Total,57
2023,Caribe,Minería,Mineralco,51
2021,Andina,Educación,Mineralco,13
2023,Caribe,Manufactura,Logística Express,35
2023,Orinoquía,Salud,Prosegur,28
2023,Andina,Manufactura,Mineralco,13
2021,Andina,Salud,Logística Express,32
2023,Amazonía,,TransCaribe,50
2023,Amazonía,Salud,,35
2021,Amazonía,Minería,Mineralco,33
2022,Pacífica,Minería,Mineralco,34
2020,Amazonía,Minería,TransCaribe,53
2023,Pacífica,Minería,Mineralco,30
2022,Amazonía,Construcción,Colsalud S.A.,19
2022,Orinoquía,Educación,TransCaribe,58
2020,Caribe,Transporte,TransCaribe,57
2021,Caribe,Agroindustria,Colsalud S.A.,59
2020,Andina,Agroindustria,Salud Total,47
2023,Orinoquía,Manufactura,Mineralco,26
2023,Andina,Educación,Concretos del Valle,57
2022,Caribe,Transporte,Mineralco,56
2021,Caribe,Salud,Concretos del Valle,12
2022,Andina,Salud,Educando SAS,20
2021,Andina,Agroindustria,Mineralco,12
2021,Amazonía,Agroindustria,Salud Total,49
2023,Orinoquía,Educaci0n,Salud Total,22
2022,Orinoquía,,Salud Total,32
2022,Pacífica,Educación,Mineralco,55
2023,Amazonía,Educación,Salud Total,36
2021,Amazonía,Minería,AgroCampo,46
2022,Andina,Agroindustria,Prosegur,20
2022,Andina,Minería,Prosegur,24
2023,Andina,Salud,Prosegur,22
2023,Amazonía,Salud,AgroCampo,11
2021,Pacífica,Agroindustria,Educando SAS,500
2022,Amazonía,Agroindustria,Colsalud S.A.,48
2020,Amazonía,Manufactura,Colsalud S.A.,14
2021,Amazonía,Construcción,Salud Total,13
2022,Caribe,Manufactura,Salud Total,32
2020,Orinoquía,Transporte,Educando SAS,12
2020,Pacífica,Construcción,Mineralco,10
2023,Pacífica,Construcción,Concretos del Valle,28
2020,Amazonía,Salud,Educando SAS,7
2020,Pacífica,Transporte,Salud Total,16
2022,Andina,Manufactura,TransCaribe,17
2020,Amazonía,Construcción,,31
2020,Orinoquía,Construcción,Prosegur,49
2021,Andina,Agroindustria,Ferroandes,16
2021,Amazonía,Salud,Ferroandes,53
2022,Pacífica,Minería,Colsalud S.A.,5
2022,Amazonía,Construcción,Mineralco,16
2020,Caribe,Construcción,AgroCampo,60
2020,Andina,Salud,Concretos del Valle,23
2023,Pacífica,Salud,Logística Express,58
2022,Orinoquía,Transporte,AgroCampo,41
2020,Caribe,Manufactura,TransCaribe,22
2021,Andina,Transporte,Salud Total,44
2023,Caribe,Agroindustria,Ferroandes,31
2020,Pacífica,Salud,Prosegur,41
2020,Andina,Agroindustria,Colsalud S.A.,46
2022,Amazonía,Minería,Ferroandes,55
2022,Andina,Transporte,Colsalud S.A.,5
2021,Andina,Agroindustria,Prosegur,38
2021,Caribe,Educación,Prosegur,15
2022,Amazonía,Agroindustria,TransCaribe,28
2023,Orinoquía,Transporte,Educando SAS,28
2020,Caribe,Transporte,Colsalud S.A.,41
2023,Amazonía,Salud,AgroCampo,56
2020,Orinoquía,Educación,Salud Total,18
2022,Amazonía,Salud,Prosegur,44
2021,Caribe,Agroindustria,AgroCampo,19
2023,,Salud,Logística Express,28
2020,,Manufactura,Colsalud S.A.,47
2023,Pacífica,Educación,Educando SAS,10
2020,Amazonía,Manufactura,Mineralco,8
2023,Orinoquía,Manufactura,Salud Total,36
2021,Orinoquía,Manufactura,AgroCampo,52
2023,Orinoquía,Manufactura,AgroCampo,19
2023,Pacífica,Construcción,Salud Total,42
2022,Caribe,Agroindustria,TransCaribe,20
2021,Orinoquía,Transporte,,5
2020,Orinoquía,Educación,Concretos del Valle,36
2023,Orinoquía,Educación,Logística Express,9
2021,Pacífica,,Salud Total,14
2023,Pacífica,Agroindustria,AgroCampo,51
2022,Amazonía,Educación,TransCaribe,58
2022,Andina,Transporte,Prosegur,27
2022,Amazonía,Agroindustria,Concretos del Valle,57
2021,Pacífica,Minería,Concretos del Valle,31
2023,Pacífica,Salud,Prosegur,51
2022,Orinoquía,,Concretos del Valle,34
2022,Amazonía,Transporte,TransCaribe,39
2021,Caribe,Minería,AgroCampo,22
2021,Andina,Salud,Logística Express,23
2022,Amazonía,Construcción,Colsalud S.A.,21
2021,Orinoquía,Salud,Salud Total,27
2022,Andina,Construcción,Concretos del Valle,34
2021,Amazonía,Educación,AgroCampo,17
2020,Andina,Manufactura,TransCaribe,44
2021,Pacífica,Agroindustria,Mineralco,400
2021,Andina,Construcción,Prosegur,30
2022,Caribe,Construcción,Mineralco,9
2022,Andina,Construcción,Educando SAS,21
2020,Orinoquía,Salud,Salud Total,52
2022,,Construcción,AgroCampo,44
2020,Pacífica,Manufactura,Logística Express,28
2022,Amazonía,Agroindustria,AgroCampo,10
2023,Andina,Minería,TransCaribe,25
2022,Pacífica,Agroindustria,Concretos del Valle,27
2021,Caribe,,AgroCampo,46
2021,Pacífica,Construcción,Mineralco,36
2020,Orinoquía,Manufactura,Mineralco,24
2022,Andina,Manufactura,Colsalud S.A.,23
2020,Caribe,Transporte,Colsalud S.A.,28
2022,Orinoquía,Agroindustria,Colsalud S.A.,38
2020,Orinoquía,Minería,Colsalud S.A.,31
2023,Orinoquía,Transporte,Ferroandes,59
2022,Pacífica,Salud,Educando SAS,17
2022,Caribe,,Ferroandes,19
2022,Pacífica,minería,Mineralco,31
2022,,AGROINDUSTRIA,Colsalud S.A.,32
2022,Amazonía,Manufactura,Educando SAS,39
2020,Caribe,Minería,Colsalud S.A.,42
2020,Caribe,Minería,AgroCampo,46
2020,Amazonía,Manufactura,Concretos del Valle,43
2022,Orinoquía,Manufactura,Salud Total,32
2022,Amazonía,,Colsalud S.A.,21
2021,Amazonía,Manufactura,Concretos del Valle,19
2020,Pacífica,Minería,AgroCampo,47
2023,Pacífica,Educación,Logística Express,50
2021,Caribe,Construcción,Salud Total,58
2023,Orinoquía,Educación,Ferroandes,60
2020,Andina,Minería,Concretos del Valle,51
2023,Andina,Construcción,Salud Total,22
2021,Amazonía,Agroindustria,Concretos del Valle,5
2020,Amazonía,Construcción,AgroCampo,17
2020,Pacífica,Agroindustria,Logística Express,50
